POLE1,POLE2
1675,1808
1676,1805
1676,1832
1677,1809
1677,1849
1678,1803
1678,1836
1679,1844
1679,1847
1680,983
1680,984
1680,995
1680,1006
1680,1019
1681,964
1681,975
1681,985
1681,989
1681,1014
1682,959
1682,977
1682,980
1682,1003
1682,1020
1683,956
1683,957
1683,988
1683,999
1683,1018
1684,951
1684,960
1684,1000
1684,1011
1684,1015
1685,976
1685,993
1685,1001
1685,1009
1685,1013
1686,912
1686,936
1686,944
1687,886
1687,939
1688,882
1688,883
1689,905
1689,909
1689,935
1690,918
1690,938
1690,941
1691,887
1691,911
1692,149
1692,257
1692,284
1692,289
1693,38
1693,196
1693,202
1693,209
1694,56
1694,100
1694,157
1694,262
1695,6
1695,96
1695,120
1695,299
1696,210
1696,234
1696,266
1697,20
1697,61
1697,133
1697,286
1698,91
1698,148
1698,279
1699,117
1699,141
1699,150
1699,218
1700,93
1700,99
1700,277
1701,59
1701,203
1701,274
1702,39
1702,230
1702,288
1703,48
1703,179
1703,238
1704,123
1704,164
1704,232
1704,273
1705,21
1705,46
1705,146
1705,161
1706,75
1706,140
1706,213
1706,241
1707,225
1707,244
1707,268
1708,23
1708,129
1708,130
1709,9
1709,43
1709,82
1709,205
1710,8
1710,127
1710,255
1710,276
1711,41
1711,76
1711,207
1711,235
1712,114
1712,171
1712,219
1712,254
1713,472
1713,501
1713,575
1714,378
1714,383
1714,387
1714,571
1715,339
1715,506
1715,525
1716,393
1716,459
1716,464
1717,417
1717,436
1717,531
1717,578
1718,376
1718,428
1718,518
1718,546
1719,462
1719,522
1719,540
1720,349
1720,451
1720,532
1721,496
1721,514
1721,577
1722,361
1722,481
1722,526
1722,552
1723,438
1723,478
1723,543
1723,560
1724,402
1724,412
1724,485
1724,517
1724,533
1725,311
1725,336
1725,445
1725,508
1726,308
1726,395
1726,435
1726,534
1726,558
1727,391
1727,446
1727,484
1727,520
1727,561
1728,422
1728,555
1728,568
1728,572
1729,373
1729,394
1729,404
1729,409
1729,510
1730,337
1730,397
1730,488
1730,515
1731,586
1731,763
1731,766
1732,671
1732,717
1732,745
1733,654
1733,702
1733,730
1734,621
1734,756
1734,799
1734,841
1735,595
1735,729
1735,732
1735,850
1736,642
1736,790
1736,843
1737,652
1737,685
1737,721
1738,682
1738,736
1738,775
1739,619
1739,737
1739,747
1739,787
1740,614
1740,700
1740,785
1741,648
1741,686
1741,866
1741,871
1742,600
1742,651
1742,753
1743,581
1743,626
1743,765
1744,719
1744,739
1744,869
1745,667
1745,690
1745,806
1746,764
1746,798
1746,846
1747,598
1747,645
1747,751
1748,655
1748,820
1748,838
1749,606
1749,688
1749,709
1750,677
1750,741
1750,836
1751,676
1751,769
1751,855
1752,639
1752,674
1752,757
1753,1114
1753,1127
1753,1140
1754,1101
1754,1104
1754,1133
1754,1149
1755,1094
1755,1131
1755,1134
1755,1147
1756,1093
1756,1102
1756,1116
1756,1122
1757,1092
1757,1100
1757,1117
1757,1119
1758,1118
1758,1126
1758,1145
1758,1156
1759,1124
1759,1125
1759,1138
1760,1123
1760,1136
1760,1146
1760,1157
1761,1038
1761,1046
1761,1067
1761,1075
1762,1024
1762,1056
1762,1066
1763,1031
1763,1047
1763,1064
1763,1087
1764,1023
1764,1050
1764,1077
1765,1030
1765,1045
1765,1083
1766,1036
1766,1060
1766,1084
1767,1035
1767,1044
1767,1085
1768,1042
1768,1058
1768,1088
1769,1049
1769,1061
1769,1068
1770,1041
1770,1063
1770,1071
1771,1025
1771,1059
1771,1073
1772,1
1772,15
1773,7
1773,19
1774,11
1774,12
1775,2
1775,14
1776,13
1776,18
1777,3071
1778,3077
1778,3090
1779,3070
1779,3093
1780,3081
1781,3087
1781,3099
1782,3089
1783,1213
1783,1237
1784,1233
1785,1175
1785,1217
1786,1166
1786,1220
1787,1179
1787,1190
1788,1174
1788,1201
1789,1209
1790,1177
1790,1207
1791,1196
1791,1221
1792,1163
1792,1176
1793,1169
1794,1173
1794,1225
1795,1216
1796,1224
1796,1234
1797,1178
1798,1260
1798,1393
1799,1322
1799,1465
2001,2251
2001,2285
2002,2252
2002,2328
2003,2332
2003,2349
2004,2260
2004,2279
2005,2264
2005,2302
2006,2288
2006,2325
2007,2331
2007,2341
2008,2255
2008,2330
2009,2253
2009,2324
2010,2268
2010,2269
2011,2296
2011,2311
2012,2294
2012,2336
2013,2312
2013,2334
2014,2254
2014,2290
2015,2289
2015,2321
2015,2760
2016,2306
2016,2322
2016,2777
2017,2291
2017,2315
2018,2266
2018,2329
2019,1788
2019,1835
2019,1947
2020,1757
2020,1821
2020,1824
2021,1783
2021,1858
2021,1883
